hours_studied,attendance_issues,internal_1,internal_2,final_score,performance
3,8,10,10,10,Pass
1,0,5,0,0,At-Risk
1,0,11,11,12,Pass
2,2,11,8,8,At-Risk
1,8,16,12,13,Pass
1,6,9,8,10,Pass
1,2,17,15,15,Exceeds Expectations
2,4,10,12,12,Pass
1,0,7,6,0,At-Risk
2,6,5,9,7,At-Risk
1,0,7,0,0,At-Risk
1,2,10,10,10,Pass
2,0,5,8,7,At-Risk
1,16,12,11,12,Pass
2,4,10,10,10,Pass
2,0,14,15,16,Exceeds Expectations
2,0,6,7,0,At-Risk
2,0,14,14,14,Pass
1,0,6,5,0,At-Risk
2,2,13,15,16,Exceeds Expectations
2,0,13,11,10,Pass
2,0,8,7,0,At-Risk
2,4,10,11,9,At-Risk
2,4,10,9,9,At-Risk
2,2,13,13,11,Pass
2,4,6,5,6,At-Risk
1,10,10,8,9,At-Risk
2,4,10,10,11,Pass
2,10,9,8,8,At-Risk
2,2,12,13,12,Pass
2,0,16,17,17,Exceeds Expectations
2,56,9,9,8,At-Risk
2,14,12,13,12,Pass
2,12,12,12,11,Pass
1,2,11,12,11,Pass
2,0,15,15,15,Exceeds Expectations
2,6,8,7,9,At-Risk
2,4,8,9,10,Pass
2,10,11,12,13,Pass
2,0,8,8,9,At-Risk
2,12,7,8,8,At-Risk
1,8,8,9,10,Pass
1,0,13,14,14,Pass
2,0,14,15,15,Exceeds Expectations
1,4,17,15,16,Exceeds Expectations
1,8,9,9,10,Pass
1,24,18,18,18,Exceeds Expectations
2,0,9,9,10,Pass
2,2,16,16,16,Exceeds Expectations
2,6,8,10,10,Pass
2,4,9,9,10,Pass
1,18,7,6,6,At-Risk
4,6,10,10,11,Pass
3,28,10,9,9,At-Risk
2,5,7,7,7,At-Risk
2,10,11,12,13,Pass
1,6,9,9,10,Pass
3,6,7,7,7,At-Risk
4,10,8,8,8,At-Risk
2,13,12,12,13,Pass
2,0,12,13,14,Pass
2,15,6,7,8,At-Risk
1,12,8,10,10,Pass
2,2,14,15,15,Exceeds Expectations
2,22,6,6,4,At-Risk
2,13,6,6,8,At-Risk
1,3,7,7,8,At-Risk
3,4,9,10,10,Pass
2,2,6,6,6,At-Risk
3,0,6,5,0,At-Risk
2,2,16,16,17,Exceeds Expectations
2,0,12,13,13,Pass
3,0,13,13,14,Pass
2,16,9,8,7,At-Risk
2,10,16,15,15,Exceeds Expectations
2,2,12,11,12,Pass
2,14,10,8,9,At-Risk
3,10,12,10,12,Pass
2,14,13,13,14,Pass
2,4,11,11,11,Pass
2,14,11,9,9,At-Risk
2,2,14,13,13,Pass
2,18,9,7,6,At-Risk
3,10,11,9,10,Pass
2,4,14,13,13,Pass
1,20,13,12,12,Pass
2,2,13,11,11,Pass
2,0,7,7,0,At-Risk
2,14,12,12,12,Pass
2,2,10,11,12,Pass
1,0,6,0,0,At-Risk
1,0,13,12,12,Pass
3,0,7,0,0,At-Risk
1,6,18,18,18,Exceeds Expectations
1,4,12,12,13,Pass
1,16,6,8,8,At-Risk
2,8,3,5,5,At-Risk
1,0,13,15,15,Exceeds Expectations
1,0,6,8,8,At-Risk
2,6,7,10,10,Pass
1,4,6,9,8,At-Risk
1,0,8,9,8,At-Risk
1,0,8,12,12,Pass
1,2,7,9,8,At-Risk
4,6,14,12,13,Pass
2,12,11,11,11,Pass
2,8,15,14,14,Pass
4,0,10,9,0,At-Risk
2,21,17,18,18,Exceeds Expectations
2,2,8,8,8,At-Risk
3,1,13,12,12,Pass
3,4,10,9,9,At-Risk
3,0,9,10,0,At-Risk
2,13,17,17,17,Exceeds Expectations
2,2,9,9,10,Pass
2,8,12,10,11,Pass
2,10,10,9,10,Pass
2,0,6,0,0,At-Risk
2,15,9,9,9,At-Risk
4,4,15,14,14,Pass
2,2,11,11,11,Pass
2,2,15,14,14,Pass
2,2,10,10,10,Pass
2,6,12,12,12,Pass
2,75,10,9,9,At-Risk
1,22,9,9,9,At-Risk
2,15,9,8,8,At-Risk
1,8,10,11,10,Pass
1,30,8,8,8,At-Risk
1,19,11,9,10,Pass
4,1,12,12,12,Pass
2,4,8,9,10,Pass
2,4,10,9,11,Pass
2,2,12,10,11,Pass
3,5,18,18,19,Exceeds Expectations
3,6,13,12,12,Pass
3,6,15,14,14,Pass
2,9,15,13,15,Exceeds Expectations
2,11,12,11,11,Pass
3,0,15,15,15,Exceeds Expectations
2,12,12,12,13,Pass
4,6,18,18,18,Exceeds Expectations
3,8,14,13,14,Pass
1,4,14,12,11,Pass
2,0,10,9,0,At-Risk
2,10,10,8,8,At-Risk
4,0,14,13,14,Pass
1,5,16,15,16,Exceeds Expectations
2,14,12,10,11,Pass
1,0,11,11,10,Pass
3,0,15,12,14,Pass
4,0,17,17,18,Exceeds Expectations
2,20,15,14,13,Pass
2,8,14,12,12,Pass
1,0,17,18,18,Exceeds Expectations
1,38,8,9,8,At-Risk
2,0,15,12,12,Pass
2,18,12,10,10,Pass
2,0,9,9,0,At-Risk
2,20,14,12,13,Pass
2,3,13,11,11,Pass
2,22,13,10,11,Pass
3,14,15,13,13,Pass
3,40,13,11,11,Pass
2,0,8,8,0,At-Risk
3,9,9,10,9,At-Risk
3,0,11,11,10,Pass
2,2,11,11,11,Pass
2,23,13,13,13,Pass
2,12,11,9,9,At-Risk
3,3,11,11,11,Pass
3,1,12,14,15,Exceeds Expectations
3,0,16,15,15,Exceeds Expectations
3,3,9,12,11,Pass
1,3,14,15,16,Exceeds Expectations
1,8,11,10,10,Pass
3,7,10,9,9,At-Risk
3,4,14,14,14,Pass
4,2,9,8,8,At-Risk
3,7,12,14,14,Pass
2,0,7,0,0,At-Risk
2,0,8,8,0,At-Risk
4,0,10,9,0,At-Risk
3,16,16,15,15,Exceeds Expectations
3,12,14,13,13,Pass
2,0,7,8,0,At-Risk
4,7,16,15,17,Exceeds Expectations
2,4,9,10,10,Pass
3,4,11,12,11,Pass
2,0,10,10,0,At-Risk
2,11,16,15,15,Exceeds Expectations
2,0,9,8,0,At-Risk
3,4,11,10,10,Pass
3,7,13,13,14,Pass
3,9,16,15,16,Exceeds Expectations
3,0,10,10,9,At-Risk
3,0,13,15,15,Exceeds Expectations
1,10,11,13,13,Pass
2,8,8,7,8,At-Risk
2,2,13,13,13,Pass
1,7,8,7,8,At-Risk
1,4,8,8,8,At-Risk
2,4,13,11,11,Pass
2,0,10,9,9,At-Risk
2,4,12,13,13,Pass
2,2,12,12,11,Pass
1,4,10,10,10,Pass
3,0,18,16,16,Exceeds Expectations
2,0,13,13,13,Pass
2,2,13,12,12,Pass
2,0,11,11,10,Pass
2,0,16,15,15,Exceeds Expectations
2,0,12,11,12,Pass
2,4,10,10,10,Pass
3,0,13,13,13,Pass
1,0,7,6,0,At-Risk
1,0,11,10,10,Pass
2,10,14,12,11,Pass
2,4,7,7,9,At-Risk
1,3,14,12,12,Pass
3,8,13,11,11,Pass
1,14,6,5,5,At-Risk
3,0,19,18,19,Exceeds Expectations
3,2,8,8,10,Pass
3,4,15,14,15,Exceeds Expectations
2,4,8,9,10,Pass
2,0,15,15,15,Exceeds Expectations
2,17,10,10,10,Pass
2,4,15,14,14,Pass
1,5,7,6,7,At-Risk
2,2,11,11,10,Pass
1,0,6,5,0,At-Risk
1,14,6,5,5,At-Risk
3,2,10,9,10,Pass
1,7,6,5,6,At-Risk
3,0,7,5,0,At-Risk
2,0,7,9,8,At-Risk
2,0,6,5,0,At-Risk
2,11,9,9,9,At-Risk
1,3,14,16,16,Exceeds Expectations
1,3,10,8,7,At-Risk
1,0,11,12,10,Pass
1,5,8,9,9,At-Risk
